,AAPL,GOOG,NVDA
2025-01-02 19:09:00+00:00,,190.14999389648438,136.51400756835938
2025-01-02 19:10:00+00:00,,190.2100067138672,136.54620361328125
2025-01-02 19:11:00+00:00,,190.20069885253906,136.5800018310547
2025-01-02 19:12:00+00:00,,190.1699981689453,136.65499877929688
2025-01-02 19:13:00+00:00,,190.0500030517578,136.63999938964844
2025-01-02 19:14:00+00:00,,190.06390380859375,136.625
2025-01-02 19:15:00+00:00,,190.05999755859375,136.66990661621094
2025-01-02 19:16:00+00:00,,190.10000610351562,136.5791015625
2025-01-02 19:17:00+00:00,,190.13999938964844,136.80160522460938
2025-01-02 19:18:00+00:00,,190.25559997558594,136.91000366210938
2025-01-02 19:19:00+00:00,,190.22000122070312,136.86000061035156
2025-01-02 19:20:00+00:00,,190.16000366210938,136.82000732421875
2025-01-02 19:21:00+00:00,,190.30999755859375,136.8800048828125
2025-01-02 19:22:00+00:00,,190.47000122070312,136.99000549316406
2025-01-02 19:23:00+00:00,,190.44000244140625,136.99000549316406
2025-01-02 19:24:00+00:00,,190.52999877929688,137.1298065185547
2025-01-02 19:25:00+00:00,,190.39089965820312,137.12469482421875
2025-01-02 19:26:00+00:00,,190.3800048828125,137.25999450683594
2025-01-02 19:27:00+00:00,,190.4499969482422,137.25
2025-01-02 19:28:00+00:00,,190.4499969482422,137.32000732421875
2025-01-02 19:29:00+00:00,,190.33999633789062,137.3022003173828
2025-01-02 19:30:00+00:00,,190.22999572753906,137.14999389648438
2025-01-02 19:31:00+00:00,,190.36000061035156,137.1699981689453
2025-01-02 19:32:00+00:00,,190.4199981689453,137.25900268554688
2025-01-02 19:33:00+00:00,,190.3300018310547,137.08999633789062
2025-01-02 19:34:00+00:00,,190.2949981689453,136.9949951171875
2025-01-02 19:35:00+00:00,,190.05999755859375,136.72999572753906
2025-01-02 19:36:00+00:00,,190.1699981689453,136.8000030517578
2025-01-02 19:37:00+00:00,,190.25999450683594,136.9600067138672
2025-01-02 19:38:00+00:00,,190.25,136.99000549316406
2025-01-02 19:39:00+00:00,,190.19000244140625,136.91000366210938
2025-01-02 19:40:00+00:00,,190.2899932861328,137.0709991455078
2025-01-02 19:41:00+00:00,,190.1699981689453,136.9499969482422
2025-01-02 19:42:00+00:00,,190.22999572753906,137.02499389648438
2025-01-02 19:43:00+00:00,,190.10989379882812,136.93099975585938
2025-01-02 19:44:00+00:00,,190.1999969482422,136.9199981689453
2025-01-02 19:45:00+00:00,,190.16000366210938,136.94000244140625
2025-01-02 19:46:00+00:00,,189.9947967529297,136.69000244140625
2025-01-02 19:47:00+00:00,,190.25,137.1699981689453
2025-01-02 19:48:00+00:00,,190.4499969482422,137.5946044921875
2025-01-02 19:49:00+00:00,,190.36700439453125,137.49000549316406
2025-01-02 19:50:00+00:00,,190.25,137.45599365234375
2025-01-02 19:51:00+00:00,,190.3300018310547,137.52000427246094
2025-01-02 19:52:00+00:00,,190.5449981689453,137.61419677734375
2025-01-02 19:53:00+00:00,,190.35000610351562,137.44000244140625
2025-01-02 19:54:00+00:00,,190.4199981689453,137.50999450683594
2025-01-02 19:55:00+00:00,,190.3800048828125,137.42100524902344
2025-01-02 19:56:00+00:00,,190.2635040283203,137.37049865722656
2025-01-02 19:57:00+00:00,,190.0260009765625,137.1699981689453
2025-01-02 19:58:00+00:00,,190.05999755859375,137.22000122070312
2025-01-02 19:59:00+00:00,,189.8699951171875,136.9149932861328
2025-01-02 20:00:00+00:00,,190.08999633789062,137.08999633789062
2025-01-02 20:01:00+00:00,,190.1199951171875,136.97000122070312
2025-01-02 20:02:00+00:00,,190.1999969482422,137.1750030517578
2025-01-02 20:03:00+00:00,,190.3300018310547,137.32000732421875
2025-01-02 20:04:00+00:00,,190.48500061035156,137.5
2025-01-02 20:05:00+00:00,,190.37820434570312,137.33999633789062
2025-01-02 20:06:00+00:00,,190.3300018310547,137.4300994873047
2025-01-02 20:07:00+00:00,,190.33999633789062,137.42999267578125
2025-01-02 20:08:00+00:00,,190.39999389648438,137.5749969482422
2025-01-02 20:09:00+00:00,,190.39500427246094,137.4949951171875
2025-01-02 20:10:00+00:00,,190.47000122070312,137.59620666503906
2025-01-02 20:11:00+00:00,,190.49000549316406,137.65499877929688
2025-01-02 20:12:00+00:00,,190.63999938964844,137.91000366210938
2025-01-02 20:13:00+00:00,,190.66000366210938,137.9600067138672
2025-01-02 20:14:00+00:00,,190.656494140625,137.83900451660156
2025-01-02 20:15:00+00:00,,190.4801025390625,137.64990234375
2025-01-02 20:16:00+00:00,,190.4499969482422,137.56500244140625
2025-01-02 20:17:00+00:00,,190.50999450683594,137.63999938964844
2025-01-02 20:18:00+00:00,,190.4600067138672,137.6199951171875
2025-01-02 20:19:00+00:00,,190.4600067138672,137.72279357910156
2025-01-02 20:20:00+00:00,,190.38999938964844,137.58999633789062
2025-01-02 20:21:00+00:00,,190.39999389648438,137.6699981689453
2025-01-02 20:22:00+00:00,,190.51499938964844,137.88999938964844
2025-01-02 20:23:00+00:00,,190.5,137.94000244140625
2025-01-02 20:24:00+00:00,,190.4499969482422,137.9499969482422
2025-01-02 20:25:00+00:00,,190.33999633789062,137.8583984375
2025-01-02 20:26:00+00:00,,190.40499877929688,137.89999389648438
2025-01-02 20:27:00+00:00,,190.42999267578125,137.9499969482422
2025-01-02 20:28:00+00:00,,190.42999267578125,137.9510040283203
2025-01-02 20:29:00+00:00,,190.39999389648438,137.9149932861328
2025-01-02 20:30:00+00:00,,190.3350067138672,137.78500366210938
2025-01-02 20:31:00+00:00,,190.8300018310547,138.09030151367188
2025-01-02 20:32:00+00:00,,190.76499938964844,138.08900451660156
2025-01-02 20:33:00+00:00,,190.82000732421875,138.00999450683594
2025-01-02 20:34:00+00:00,,190.7050018310547,137.75010681152344
2025-01-02 20:35:00+00:00,,190.47999572753906,137.5749969482422
2025-01-02 20:36:00+00:00,,190.46009826660156,137.52999877929688
